Operating day,Week,Total volume
2023/6/1,4,80147
2023/6/2,5,93366
2023/6/3,6,84269
2023/6/4,7,72121
2023/6/5,1,83006
2023/6/6,2,81928
2023/6/7,3,81507
2023/6/8,4,84725
2023/6/9,5,91224
2023/6/10,6,76325
2023/6/11,7,73500
2023/6/12,1,84697
2023/6/13,2,82529
2023/6/14,3,84985
2023/6/15,4,87661
2023/6/16,5,91860
2023/6/17,6,88941
2023/6/18,7,74933
2023/6/19,1,86965
2023/6/20,2,87339
2023/6/21,3,93104
2023/6/22,4,77912
2023/6/23,5,73880
2023/6/24,6,78232
2023/6/25,7,83579
2023/6/26,1,88708
2023/6/27,2,87417
2023/6/28,3,87122
2023/6/29,4,89680
2023/6/30,5,98752
